student_id,department,faculty,domicile,status,gender,age,application_date
STU00001,Politics,Social Sciences,International,Rejected,Female,19.0,2023-01-15 00:00:00.000000
STU00002,ENGLISH,Arts & Humanities,Home,Enrolled,Male,20.0,2023-01-15 03:19:21.968306
STU00003,Physics,Science,Home,Enrolled,Female,23.0,2023-01-15 06:38:43.936613
STU00004,Physics,Science,Home,Enrolled,Male,24.0,2023-01-15 09:58:05.904920
STU00005,MEDICINE,Clinical Medicine,international,Enrolled,Male,22.0,2023-01-15 13:17:27.873227
STU00006,Geography,Social Sciences,Home,Enrolled,Female,22.0,2023-01-15 16:36:49.841534
STU00007,Engineering,Engineering,Home,Enrolled,,21.0,2023-01-15 19:56:11.809841
STU00008,Philosophy,Arts & Humanities,Home,Enrolled,Female,20.0,2023-01-15 23:15:33.778148
STU00009,Biology,Science,Home,enrolled,Non-binary,22.0,2023-01-16 02:34:55.746455
STU00010,English,Arts & Humanities,Home,Enrolled,Female,21.0,2023-01-16 05:54:17.714762
STU00011,Physics,Science,Home,Enrolled,Female,21.0,2023-01-16 09:13:39.683069
STU00012,Economics,Social Sciences,Home,Enrolled,Male,23.0,2023-01-16 12:33:01.651376
STU00013,English,Arts & Humanities,International,Enrolled,Male,25.0,2023-01-16 15:52:23.619683
STU00014,Mathematics,Science,Home,Enrolled,Male,25.0,2023-01-16 19:11:45.587989
STU00015,Politics,Social Sciences,home,Enrolled,Female,23.0,2023-01-16 22:31:07.556296
STU00016,Sociology,Social Sciences,International,Rejected,Female,24.0,2023-01-17 01:50:29.524603
STU00017,Physics,Science,International,Rejected,Female,20.0,2023-01-17 05:09:51.492910
STU00018,Psychology,Social Sciences,Home,ENROLLED,Male,21.0,2023-01-17 08:29:13.461217
STU00019,Veterinary Medicine,Clinical Medicine,Home,Rejected,Female,18.0,2023-01-17 11:48:35.429524
STU00020,English,Arts & Humanities,Home,enrolled,Female,24.0,2023-01-17 15:07:57.397831
